"Country","Name","State","Name (Native Language)","Level"
"Germany","...","Cancelled","Klimaplan Brandenburg","Regional"
"Poland","Plan of conservation measures for the Natura 2000 site Torfowiska Orawsko-Nowotarskie PLH120016","Cancelled","Plan zadań ochronny dla obszaru Natura 2000 Torfowiska Orawsko-Nowotarskie PLH120016","Regional"
"Ireland","...","Cancelled","Water Action Plan 2024","National"
"","1","Cancelled","1",""
"Italy","PAF Regione del Veneto","Cancelled","QUADRO DI AZIONI PRIORITARIE (PAF) PER NATURA 2000 nella Regione del Veneto","Regional"
"","This meditation, recumbency osteolytic insertion trocar, stricturing. ","Cancelled","This meditation, recumbency osteolytic insertion trocar, stricturing. ","European"
"Italy","Prioritised Action Framework (PAF) for the Natura 2000 network in Lombardy","Published","QUADRO DI AZIONI PRIORITARIE (PAF, Prioritized Action Framework) PER NATURA 2000 in LOMBARDIA","Regional"
"Italy","Priority Action Framework (PAF) for Natura 2000 in the Autonomous Province of Trento","Published","QUADRO DI AZIONI PRIORITARIE (PAF) PER NATURA 2000 in Provincia autonoma di Trento","Regional"
"Italy","Priority Action Framework (PAF) for Natura 2000 in the Emilia-Romagna Region","Published","QUADRO DI AZIONI PRIORITARIE (PAF) PER NATURA 2000 in REGIONE EMILIA-ROMAGNA","Regional"
"Italy","PRIORITY ACTION FRAMEWORK (PAF) FOR NATURA 2000 in the Veneto Region","Published","QUADRO DI AZIONI PRIORITARIE (PAF) PER NATURA 2000 nella Regione del Veneto","Regional"
"Italy","Priority Action Framework (PAF) for Natura 2000 in the Piedmont Region","Published","QUADRO DI AZIONI PRIORITARIE (PAF) PER NATURA 2000 in REGIONE PIEMONTE","Regional"
"Italy","PRIORITY ACTION FRAMEWORK (PAF) for Natura 2000 in Liguria","Published","QUADRO DI AZIONI PRIORITARIE (PAF) PER NATURA 2000 in LIGURIA","Regional"
"Italy","PRIORITIZED ACTION FRAMEWORK (PAF) FOR THE SICILIAN NATURA 2000 NETWORK","Published","QUADRO DI AZIONI PRIORITARIE Prioitized Action Framework – PAF PER LA RETE NATURA SICILIANA","Regional"
"Italy","Prioritised Action Framework (PAF) for the Natura 2000 Network of the Sardinia Region Programming period 2014–2020","Published","Quadro di Azioni Prioritarie (Prioritised Action Framework, PAF) per la Rete Natura 2000 della Regione Sardegna P Periodo di programmazione 2014-2020","Regional"
"Italy","Priority Action Framework (PAF) for Natura 2000 in Calabria","Published","QUADRO DI AZIONI PRIORITARIE (PAF) PER NATURA 2000 in CALABRIA","Regional"
"Italy","Priority Action Framework (PAF) for Natura 2000 in the Autonomous Region of Friuli Venezia Giulia","Published","QUADRO DI AZIONI PRIORITARIE (PAF) PER NATURA 2000 in Regione Autonoma Friuli Venezia Giulia","Regional"
"Italy","Priority Action Framework (PAF) for Natura 2000 in the Aosta Valley (Valle d’Aosta)","Published","QUADRO DI AZIONI PRIORITARIE (PAF) PER NATURA 2000 in VALLE D’AOSTA","Regional"
"Italy","PRIORITISED ACTION FRAMEWORK (PAF) FOR NATURA 2000 in Tuscany","Published","QUADRO DI AZIONI PRIORITARIE (PAF) PER NATURA 2000 in Toscana","Regional"
"Italy","PRIORITISED ACTION FRAMEWORK (PAF) FOR NATURA 2000 in the Marche region","Published","QUADRO DI AZIONI PRIORITARIE (PAF) PER NATURA 2000 nella regione Marche","Regional"
"Italy","PRIORITISED ACTION FRAMEWORK (PAF) FOR NATURA 2000 in the Campania Region","Published","QUADRO DI AZIONI PRIORITARIE (PAF)  PER NATURA 2000 in Regione Campania","Regional"
"Italy","PRIORITISED ACTION FRAMEWORK (PAF) FOR NATURA 2000 in BASILICATA","Published","QUADRO DI AZIONI PRIORITARIE (PAF) PER NATURA 2000 in BASILICATA","Regional"
"Italy","Prioritised Action Framework (PAF) for Natura 2000 in Basilicata","Published","QUADRO DI AZIONI PRIORITARIE (PAF) PER NATURA 2000 in BASILICATA","Regional"
"","Prioritised Action Framework (PAF) for Natura 2000 in the Lazio Region (IT)","Cancelled","QUADRO DI AZIONI PRIORITARIE (PAF) PER NATURA 2000 nella Regione Lazio (IT)","Global"
"Italy","PRIORITIZED ACTION FRAMEWORK (PAF) FOR NATURA 2000 in the Lazio Region (Italy)","Published","QUADRO DI AZIONI PRIORITARIE (PAF) PER NATURA 2000 nella Regione Lazio (IT)","Regional"
"Italy","Priority Action Framework (PAF) for Natura 2000 in the Molise Region","Published","QUADRO DI AZIONI PRIORITARIE (PAF) PER NATURA 2000 in REGIONE MOLISE","Regional"
"Italy","Outline of the priority action framework (PAF) for Natura 2000 in Puglia","Published","Schema del quadro di azioni prioritaire (PAF) per natura 2000 in Puglia","Regional"
"Italy","PRIORITISED ACTION FRAMEWORK (PAF) FOR NATURA 2000 in Umbria","Published","QUADRO DI AZIONI PRIORITARIE (PAF) PER NATURA 2000 in Umbria","Regional"
"Italy","Priority Action Framework (PAF) for Natura 2000 in Abruzzo","Published","QUADRO DI AZIONI PRIORITARIE (PAF) PER NATURA 2000 in ABRUZZO","Regional"
"Italy","National Integrated Plan for Energy and Climate","Cancelled","PIANO NAZIONALE INTEGRATO PER L’ENERGIA E IL CLIMA","National"
"Italy","NATIONAL INTEGRATED ENERGY AND CLIMATE PLAN","Published","PIANO NAZIONALE INTEGRATO PER L’ENERGIA E IL CLIMA","National"
"","National Plan in the field of Energy and Climate until 2030 (update of the 2019 National Energy and Climate Plan)","Cancelled","Krajowy Plan w dziedzinie Energii i Klimatu do 2030 r. (aktualizacja KPEiK z 2019 r.)","Global"
"Poland","National Plan in the field of Energy and Climate until 2030 (update of the 2019 National Energy and Climate Plan)","Published","Krajowy Plan w dziedzinie Energii i Klimatu do 2030 r. (aktualizacja KPEiK z 2019 r.)","National"
"Poland","ENERGY POLICY OF POLAND UNTIL 2040","Cancelled","Polityki energetycznej do 2040","Regional"
"Poland","Energy Policy of Poland until 2040","Cancelled","Polityka Energetyczna Polski do 2040","National"
"Poland","Program for the protection and sustainable use of biodiversity, together with an Action Plan for the years 2015–2020","Published","Program ochrony i zrównoważonego użytkowania różnorodności biologicznej wraz z Planem działań na lata 2015–2020","National"
"Poland","National Forest Policy","Published","POLITYKA LEŚNA PAŃSTWA","National"
"Germany","Measures for the permanent and extensive rewetting of agriculturally and forestry-used peatlands and for supporting the agricultural and forestry use of rewetted peatland areas","Published","Maßnahmen zur dauerhaften und weitgehenden Wiedervernässung land- und forstwirtschaftlich genutzter Moorböden und zur Unterstützung der land- und forstwirtschaftlichen Nutzung wiedervernässter Moorbodenflächen","National"
"Cyprus","Common Agricultural Policy Strategic Plan 2023–2027","Cancelled","ΣΤΡΑΤΗΓΙΚΟ ΣΧΕΔΙΟ ΚΑΠ 2023 - 2027","National"
"Poland","Priority Action Framework (PAF) for the Natura 2000 network in Poland","Published","PRIORYTETOWE RAMY DZIAŁAŃ (PAF) DLA SIECI NATURA 2000 w Polsce","National"
"Malta","Common Agricultural Policy Strategic Plan - Malta","Published","MT - Pjan Strateġiku tal-Politika Agrikola Komuni - Malta","National"
"Croatia","CLIMATE CHANGE ADAPTATION STRATEGY IN THE REPUBLIC OF CROATIA FOR THE PERIOD UNTIL 2040 WITH A VIEW TO 2070","Published","Strategija prilagodbe klimatskim promjenama u Republici Hrvatskoj za razdoblje do 2040. godine s pogledom na 2070. godinu","National"
"","Strategy for Adaptation to Climate Change in the Republic of Croatia for the Period up to 2040, with a View to 2070","Published","STRATEGIJA PRILAGODBE KLIMATSKIM PROMJENAMA U REPUBLICI HRVATSKOJ ZA RAZDOBLJE DO 2040. GODINE S POGLEDOM NA 2070. GODINU","Global"
"United Kingdom","The Third National Adaptation Programme (NAP3) and the Fourth Strategy for Climate Adaptation Reporting","Published","","National"
"Malta","Natura 2000 Management Plan (SAC) (SPA)","Published","","National"
"Austria","The Red-spotted Bluethroat in the Elend Valleys, Hohe Tauern National Park, Carinthia","Cancelled","DAS ROTSTERNIGE BLAUKEHLCHEN IN DEN ELENDTÄLERN, NATIONALPARK HOHE TAUERN, KÄRNTEN","Regional"
"Denmark","PRIORITISED ACTION FRAMEWORK (PAF) FOR NATURA 2000","Published","","National"
"Austria","Management Plan Hohe Tauern National Park Carinthia 2023–2032","Published","Managementplan Nationalpark Hohe Tauern Kärnten 2023-2032","Regional"
"Finland","PRIORITISED ACTION FRAMEWORK (PAF) FOR NATURA 2000 in FINLAND including the Province of Åland","Published","","National"
"","Natura 2000: Cooperation between Nature Conservation and Users","Cancelled","Natura 2000: Kooperation von Naturschutz und Nutzern","National"
"Luxembourg","Information document relating to the 3rd National Plan concerning the Protection of Nature","Published","Document d'information relatif au 3e Plan National concernant la Protection de la Nature","National"
"Luxembourg","National Nature Protection Plan","Cancelled","Plan National concernant la Protection de la Nature","National"
"Spain","PRIORITISED ACTION FRAMEWORK (PAF) FOR NATURA 2000 IN SPAIN","Published","MARCO DE ACCIÓN PRIORITARIA (MAP) PARA NATURA 2000 en ESPAÑA","National"
"United Kingdom","FORMAT FOR A PRIORITISED ACTION FRAMEWORK (PAF) FOR NATURA 2000","Approved","","Regional"
"United Kingdom","FORMAT FOR A PRIORITISED ACTION FRAMEWORK (PAF) FOR NATURA 2000 For the EU Multiannual Financing Period 2014-2020 SCOTLAND","Published","","Regional"
"United Kingdom","FORMAT FOR A PRIORITISED ACTION FRAMEWORK (PAF) FOR NATURA 2000 For the EU Multiannual Financing Period 2014-2020 NORTHERN IRELAND","Published","","Regional"
"Bulgaria","Bulgaria 2030 National Development Programme Detailed Strategy","Cancelled","","National"
"Bulgaria","BIODIVERSITY STRATEGY OF THE REPUBLIC OF BULGARIA","Published","СТРАТЕГИЯ ЗА БИОЛОГИЧНОТО  РАЗНООБРАЗИЕ  В РЕПУБЛИКА БЪЛГАРИЯ","National"
"Croatia","Nature Protection Strategy and Action Plan of the Republic of Croatia for the Period 2017–2025","Cancelled","Strategija i akcijski plan zaštite prirode Republike Hrvatske za razdoblje od 2017. do 2025. godine","National"
"Croatia","Nature Protection Strategy and Action Plan of the Republic of Croatia for the Period 2017–2025","Published","Strategija i akcijski plan zaštite prirode Republike Hrvatske za razdoblje od 2017. do 2025. godine","National"
"Denmark","Denmark's National Biodiversity Strategy and Action Plan 2024","Published","","National"
"Denmark","Action Plan for Biodiversity and Nature Conservation in Denmark 2004-2009","Cancelled","","National"
"Latvia","Sustainable Development Strategy of Latvia until 2030","Approved","Latvijas ilgtspējīgas attīstības stratēģija līdz 2030. gadam Pārlūks","National"
"Lithuania","National Environmental Protection Strategy","Published","Nacionalinė aplinkos apsaugos strategija","National"
"Luxembourg","National Plan for the Protection of Nature","Published","Plan National concernant la Protection de la Nature","National"
"Netherlands","National Biodiversity Strategy & Action Plan Netherlands 2025-2030","Published","Nationaal Biodiversiteit Strategie & Actieplan Nederland 2025-2030","National"
"Poland","Common Agricultural Policy Strategic Plan 2023–2027","Published","Plan Strategiczny dla Wspólnej Polityki Rolnej na lata 2023-2027","National"
"Slovenia","R E S O L U T I O N on the National Environmental Action Programme 2020–2030 (ReNPVO20-30)","Published","RESOLUCIJO O NACIONALNEM PROGRAMU VARSTVA OKOLJA ZA OBDOBJE 2020–2030 (RENPVO20- 30)","National"
"Bulgaria","National Forestry Accounting Plan of Bulgaria, including Forest Reference for the period  Levels for the period 2021-2025","Published","Национален план за отчитане на горите на България, включително референтни нива за горите за периода 2021–2025 г.","National"
"Bulgaria","Integrated Plan Energy and Climate The Republic of Bulgaria Updated 2024","Published","Интегриран план „Енергетика и климат“ на Република България – Актуализиран 2024 г","National"
"Bulgaria","National Climate Change Adaptation Strategy and Action Plan","Cancelled","Национална стратегия и план за действие за адаптация към изменението на климата","National"
"Croatia","Draft Bioeconomy Strategy to 2035","Published","Nacrt Strategije Biogospodarstva do 2035","National"
"Croatia","Strategic Plan of the Common Agricultural Policy of the Republic of Croatia 2023 - 2027","Published","HR - Strateški plan Zajedničke poljoprivredne politike Republike Hrvatske 2023. - 2027","National"
"Croatia","National Forestry Accounting Plan for the Republic of Croatia","Cancelled","Nacionalni plan obračuna u šumarstvu za Republiku Hrvatsku","National"
"Cyprus","National Forest Programme of Cyprus  and  National Forest Policy Statement","Published","Εθνικό Πρόγραμμα Δασών της Κύπρου  και  Δήλωση Εθνικής Δασικής Πολιτικής","National"
"Czech Republic","Climate Protection Policy in the Czech Republic","Approved","Politika ochrany klimatu v ČR","National"
"Czech Republic","Climate protection policy in the Czech Republic","Cancelled","Politika ochrany klimatu v ČR","National"
"Greece","National Forestry Accounting Plan (NFAP) Greece","Published","Εθνικό Σχέδιο Λογιστικής Δασοκομίας (NFAP) Ελλάδα","National"
"Hungary","National Forest Strategy 2016–2030","Published","Nemzeti Erdőstratégia 2016–2030","National"
"Ireland","Climate Action Plan 2025","Published","Plean Gníomhaíochta ar son na hAeráide 2025","National"
"Ireland","Managing Ireland's Peatlands A National Peatlands Strategy 2015","Published","","National"
"Ireland","Ireland’s National Inventory Document 2026","Published","","National"
"Italy","National Forestry Strategy","Published","Strategia Forestale Nazionale","National"
"Italy","National Plan Integrated for Energy and Climate","Cancelled","Piano Nazionale Integrato per l'Energia e il Clima","National"
"Netherlands","Forest for the Future Elaboration of ambitions and goals of the national Forest Strategy and Policy Agenda 2030","Published","Bos voor de toekomst Uitwerking ambities en doelen landelijke Bossenstrategie en beleidsagenda 2030","National"
"Romania","National Strategy of Forests 2030","Published","Strategia Națională pentru Păduri 2030","National"
"Slovakia","Low-Carbon Development Strategy of the Slovak Republic until 2030 with a View to 2050","Published","Nízkouhlíková rozvojová stratégia Slovenskej republiky do roku 2030 s výhľadom do roku 2050","National"
"Slovakia","National Forest Programme of the Slovak Republic","Published","Národný lesnícky program Slovenskej republiky","National"
"Ireland","Chapter 6: Soil Environmental Protection Agency’s 2024 State of the Environment Report","Cancelled","","National"
"Croatia","Water Management Plan until 2027","Published","Plan upravljanja vodnim područjima do 2027","National"
"Croatia","Draft Water Management Plan 2022–2027","Cancelled","Nacrt plana upravljanja vodnim područjima 2022. – 2027.","National"
"Czech Republic","National River Basin Plan of the Danube","Published","Národní plán povodí Dunaje","National"
"Ireland","Water Action Plan 2024","Cancelled","","National"
"Czech Republic","International Flood Risk Management Plan for the Elbe River Basin","Published","Mezinárodní plán pro zvládání povodňových rizik v oblasti povodí Labe","National"
"Czech Republic","National River Basin Plan for the Elbe 2021–2027","Published","Národní plán povodí Labe 2021–2027","National"
"Czech Republic","National Management Plan for the Odra River Basin 2021-2027","Published","Národní plán povodí Odry 2021-2027","National"
"Czech Republic","Danube River Basin Flood Risk Management Plan 2021-2027","Published","Plán pro zvládání povodňových rizik v povodí Dunaje 2021–2027","National"
"Ireland","Climate Action Plan 2025","Cancelled","","National"
"Latvia","Daugava River Basin District Management Plan and Flood Risk Management Plan for 2022–2027","Published","Daugavas Upju Baseinu Apgabala Apsaimniekošanas Plāns un Plūdu Riska Pārvaldības Plāns 2022.–2027","National"
"Latvia","Gauja River Basin District Management Plan and Flood Risk Management Plan for 2022–2027","Published","Gaujas Upju Baseinu Apgabala Apsaimniekošanas Plāns un Plūdu Riska Pārvaldības Plāns 2022.–2027. Gadam","National"
"Latvia","Lielupe River Basin District Management Plan and Flood Risk Management Plan for 2022–2027","Cancelled","Lielupes Upju Baseinu Apgabala Apsaimniekošanas Plāns un Plūdu Riska Pārvaldības Plāns 2022.–2027. Gadam","National"
"Latvia","Venta River Basin District Management Plan and Flood Risk Management Plan for 2022–2027","Published","Ventas Upju Baseinu Apgabala Apsaimniekošanas Plāns un Plūdu Riska Pārvaldības Plāns 2022.–2027. Gadam","National"
"Italy","Water Management Plan 2021–2027 Cycle","Cancelled","Piano Di Gestione Delle Acque Ciclo 2021–2027","National"
"Lithuania","Daugava River Basin District Management Plan","Published","Dauguvos Upių Baseinų Rajono Valdymo Planas","National"
"Lithuania","Management of the Lielupė River Basin District","Published","Lielupės Upių Baseinų Rajono Valdymo","National"
"Lithuania","Management Plan for the Nemunas River Basin District","Published","Nemuno upių baseinų rajono valdymo planas","National"
"Lithuania","Management Plan for the Venta River Basin District","Published","Ventos upių baseino rajono valdymo planas","National"
"Luxembourg","Third Management Plan For The Luxembourg Portions Of The International River Basin Units Rhine And Meuse (2021–2027)","Published","Dritter Bewirtschaftungsplan für die luxemburgischen Anteile an den internationalen Flussgebietseinheiten Rhein und Maas (2021–2027)","National"
"Slovakia","Water Plan of Slovakia: Management Plan for the Danube River Basin District","Published","Vodný plán Slovenska: Plán manažmentu správneho územia povodia Dunaja","National"
"Slovakia","Water Plan of Slovakia Management Plan for the Vistula River Basin District","Published","Vodný Plán Slovenska Plán manažmentu správneho územia povodia Visly","National"
"Slovenia","Water Management Plan for the Adriatic Sea Water District for the Period 2023–2027","Published","Načrt upravljanja voda na vodnem območju Jadranskega morja za obdobje 2023–2027","National"
"Slovenia","Water Management Plan for the Danube River Basin District for the period 2023–2027","Published","Načrt upravljanja voda na vodnem območju Donave za obdobje 2023–2027","National"
"Sweden","A Swedish Strategy for Biodiversity and Ecosystem Services","Published","En svensk strategi för biologisk mångfald och ekosystemtjänster","National"
"Belgium","Final update of the Belgian National Plan on energy and climate 2021- 2030 (NECP 2025)","Published","Finale actualisatie van het Belgische Nationaal Energie- en Klimaatplan 2021- 2030 (NEKP 2025)","National"
"Belgium","Flemish Energy and Climate Plan 2021–2030","Published","Vlaams Energie- en Klimaatplan 2021-2030","Regional"
"","Intracavernosal: impairment simvastatin girls, wide drastic. ","Cancelled","Intracavernosal: impairment simvastatin girls, wide drastic. ","Regional"
"Italy","Sebino Peat Bogs Management Plan","Published","Piano di Gestione delle Torbiere del Sebino","Regional"
"Italy","Management Plan for the Site of Community Importance (SCI) IT2040037 – Rifugio Falk","Published","Piano di Gestione del SIC IT2040037 – Rifugio Falk","Regional"
"Greece","Greece, National Strategy for Wetland Resources","Published","","National"
"Italy","Water Protection Plan","Published","Piano di Tutela delle Acque","Regional"
"Italy","Regional Landscape Plan |Art. 143 of Legislative Decree no. 42/2004 - Art. 12-bis of the Regional Urban Planning Law (LUR)","Published","Piano Paesaggistico Regionale |art. 143 D.Lgs. n. 42/2004 - art. 12 bis LUR|","Regional"
"Slovakia","Wetlands Action Plan for 2022-2024 to the updated Wetlands Care Programme of Slovakia until 2024 (strategic objectives and goals, measures, responsible party, estimated/expected expenses, source of finance and level of provision, outputs)","Published","Akčný plán pre mokrade na roky 2022 – 2024 k aktualizovanému Programy starostlivosti o mokrade Slovenska do roku 2024 (strategické zámery a ciele, opatrenia, gestor, odhadované/očakávané výdavky, zdroj financií a miera zabezpečenia, výstupy)","National"
"Slovakia","Updated Wetland Care Program of Slovakia for the years 2015 – 2021: Action Plan for Wetlands for the years 2015 – 2018","Published","Aktualizovaný Program starostlivosti o mokrade Slovenska na roky 2015 – 2021: Akčný plán pre mokrade na roky 2015 – 2018","National"
"Sweden","Mire Protection Plan for Sweden Main Report on the 2006 Revision","Published","Myrskyddsplan för Sverige Huvudrapport över revidering 2006","National"
"Greece","Management Plan for the River Basins of Western Peloponnese River Basin District","Published","","Regional"
"Greece","Management Plan for the River Basins of Northern Peloponnese River Basin District","Published","","Regional"
"Greece","Management Plan of the River Basins of Central Macedonia River Basin District","Published","","Regional"
"","Diagnose near-acuity hyoid gingival over-penetrated lab, anti-infective. ","Cancelled","Diagnose near-acuity hyoid gingival over-penetrated lab, anti-infective. ","Regional"
"Greece","Management Plan for the River Basins of Western Peloponnese River Basin District","Cancelled","","Regional"
"Greece","Management Plan of the River Basins of Eastern Macedonia River Basin District","Published","","Regional"
"Greece","Management Plan of the River Basins of Thrace River Basin District","Published","","Regional"
"Greece","Management Plan of the River Basins of Epirus River Basin District","Published","","Regional"
"Greece","Management Plan for the River Basins of Eastern Peloponnese River Basin District","Published","","Regional"
"Spain","Priority Action Framework (PAF) For Natura 2000 in Galicia","Published","Marco De Acción Prioritaria (MAP) Para Natura 2000 En Galicia","Regional"
"Spain","Priority Action Framework (PAF) For Natura 2000 In Cantabria","Published","Marco De Acción Prioritaria (MAP) Para Natura 2000 En Cantabria","Regional"
"Spain","Priority Action Framework (PAF) for Natura 2000 in the Basque Country","Published","Marco de Acción Prioritaria (MAP) para Natura 2000 en el País Vasco","Regional"
"Spain","Priority Action Framework (PAF) for Natura 2000 in Castilla y León","Published","Marco de Acción Prioritaria (MAP) para Natura 2000 en Castilla y León","Regional"
"Spain","Priority Action Framework (PAF) for Natura 2000 in Aragon","Published","Marco de Acción Prioritaria (MAP) para Natura 2000 en Aragón","Regional"
"Spain","Priority Action Framework (PAF) for Natura 2000 in Catalonia","Published","Marco de Acción Prioritaria (MAP) para Natura 2000 en Cataluña","Regional"
"Spain","Prioritised Action Framework (PAF) for Natura 2000 in Castilla-La Mancha","Published","Marco de Acción Prioritaria (Map) para Natura 2000 en Castilla-La Mancha","Regional"
"Spain","Prioritised Action Framework (PAF) for Natura 2000 in the Community of Madrid","Published","Marco de Acción Prioritaria (MAP) para Natura 2000 en la Comunidad de Madrid","Regional"
"Spain","Prioritised Action Framework (PAF) for Natura 2000 in Andalusia","Published","Marco de Acción Prioritaria (MAP) para Natura 2000 en Andalucía","Regional"
"Spain","Prioritised Action Framework (PAF) for Natura 2000 in the Principality of Asturias","Published","Marco de Acción Prioritaria (MAP) para Natura 2000 en el Principado de Asturias","Regional"
"Spain","Prioritised Action Framework (PAF) for Natura 2000 in the Chartered Community of Navarre","Published","Marco de Acción Prioritaria (MAP) para Natura 2000 en la Comunidad Foral de Navarra","Regional"
"Croatia","CAP Strategic Plan","Cancelled","Strateški plan u okviru ZPP-a","National"
"","CAP Strategic Plan","Cancelled","Strateški plan u okviru ZPP-a","Global"
"France","Water Development and Management Master Plan – Corsica River Basin","Published","Schéma Directeur d’Aménagement et de Gestion des Eaux – Bassin de Corse","National"
"France","Master plan for water management and development of the Loire-Bretagne basin SDAGE 2022-2027","Published","Schéma directeur d’aménagement et de gestion des eaux du bassin Loire-Bretagne SDAGE 2022-2027","National"
"France","Master Plan for Water Development and Management of the Rhône–Mediterranean River Basin","Published","Schéma directeur d’aménagement et de gestion des eaux du bassin Rhône-Méditerranée","National"
"France","Water Development and Management Master Plan 2022-2027 La Réunion","Published","Schéma Directeur d’Aménagement et de Gestion des Eaux 2022-2027 La Réunion","National"
"Malta","Conservation Objectives & Measures ERA.ORG.MT For Malta’s Terrestrial Natura 2000 sites","Published","","National"
"Ireland","Programme for Government 2025 Securing Ireland’s Future","Published","","National"
